#         t          x          y          z         vx         vy         vz
      0.000   -476.250    491.430   -412.420     44.340    101.220    141.390
     71.429   -472.890    498.930   -402.010     50.120    107.170    147.800
    142.857   -469.180    506.710   -391.380     58.020    111.730    151.010
    214.286   -464.840    514.930   -380.330     63.630    116.210    160.090
    285.714   -460.030    523.460   -368.470     72.270    124.960    171.100
    357.143   -454.430    532.540   -355.730     82.680    129.030    183.840
    428.571   -448.030    541.940   -342.340     94.750    133.400    191.160
    500.000   -440.780    551.460   -328.410    107.370    134.080    200.580
    571.429   -432.370    561.190   -313.650    130.800    138.140    212.260
    642.857   -422.260    570.940   -298.090    153.990    135.580    225.410
    714.286   -410.460    580.390   -281.630    178.990    127.220    236.460
    785.714   -396.760    588.940   -264.540    206.310    112.790    241.550
    857.143   -380.960    596.330   -247.030    237.730     93.210    246.690
    928.571   -362.910    601.840   -229.360    265.180     60.810    247.720
   1000.000   -343.390    605.150   -212.060    279.320     31.320    237.270
   1071.429   -323.170    606.330   -195.630    286.860      1.920    220.580
   1142.857   -302.690    605.490   -180.460    286.500    -25.060    204.070
   1214.286   -282.370    602.780   -166.510    281.220    -52.080    188.100
   1285.714   -262.560    598.400   -153.520    273.300    -68.560    176.580
   1357.143   -243.340    592.960   -141.410    263.410    -81.630    163.820
   1428.571   -224.760    586.580   -130.150    255.680    -97.030    149.650
   1500.000   -206.960    579.260   -119.880    243.950   -107.290    138.180
   1571.429   -189.860    571.290   -110.360    236.130   -116.020    129.740
   1642.857   -173.310    562.800   -101.460    226.570   -121.630    120.480
   1714.286   -157.450    553.800    -93.100    217.750   -131.120    113.580
   1785.714   -142.250    544.270    -85.330    208.030   -135.620    104.700
   1857.143   -127.700    534.390    -78.130    200.150   -142.040     97.210
   1928.571   -113.730    524.070    -71.450    191.400   -147.290     90.740
   2000.000   -100.350    513.300    -65.150    183.370   -154.000     85.240
   2071.429    -87.650    502.100    -59.280    171.790   -157.810     79.140
   2142.857    -75.570    490.800    -53.840    167.730   -158.290     72.690
   2214.286    -63.980    479.350    -48.920    156.480   -162.070     68.070
   2285.714    -52.970    467.600    -44.190    151.550   -165.820     63.750
   2357.143    -42.390    455.620    -39.880    145.210   -169.640     58.700
   2428.571    -32.380    443.400    -35.720    136.430   -171.140     56.450
   2500.000    -23.070    431.110    -31.770    125.530   -175.880     53.640
   2571.429    -14.330    418.440    -28.190    117.840   -179.970     45.560
   2642.857     -6.200    405.450    -24.970    109.840   -185.200     43.790
   2714.286      1.370    392.090    -22.020    103.000   -186.630     37.940
   2785.714      8.530    378.690    -19.480     98.370   -189.840     33.840
   2857.143     15.150    364.870    -17.120     88.120   -196.560     29.940
   2928.571     21.030    350.720    -15.110     77.670   -200.240     25.220
   3000.000     26.220    336.300    -13.480     68.520   -203.590     22.210
   3071.429     30.730    321.590    -11.960     57.240   -208.830     18.700
   3142.857     34.530    306.530    -10.720     47.650   -213.640     15.200
   3214.286     37.560    291.130     -9.880     36.070   -218.620      8.850
   3285.714     39.570    275.310     -9.480     21.460   -222.900      3.880
   3357.143     40.530    259.240     -9.350      5.760   -227.870     -0.210
   3428.571     40.210    242.810     -9.540    -13.900   -231.280     -6.230
   3500.000     38.610    226.040    -10.310    -31.260   -237.900    -13.850
   3571.429     35.590    208.800    -11.540    -53.660   -244.330    -20.130
   3642.857     30.850    191.190    -13.340    -79.500   -246.340    -32.970
   3714.286     23.920    173.660    -16.020   -114.540   -243.020    -43.370
   3785.714     14.500    156.620    -19.630   -151.500   -232.330    -56.600
   3857.143      2.410    140.750    -24.250   -187.640   -210.100    -71.500
   3928.571    -12.140    126.700    -29.660   -220.870   -179.010    -81.110
   4000.000    -28.800    115.680    -35.660   -247.190   -128.830    -83.950
   4071.429    -46.970    108.450    -41.540   -257.500    -70.840    -79.300
   4142.857    -65.210    105.850    -46.870   -250.200     -2.360    -66.310
   4214.286    -82.110    108.240    -50.970   -219.180     67.860    -48.820
   4285.714    -96.080    115.250    -53.690   -166.610    123.500    -28.270
   4357.143   -105.740    125.340    -54.970   -104.260    155.200     -8.280
   4428.571   -111.100    137.020    -55.020    -46.970    168.810      6.280
   4500.000   -112.650    149.090    -54.160      0.820    169.320     15.440
   4571.429   -111.140    161.070    -52.680     39.010    165.360     24.920
   4642.857   -107.070    172.660    -50.620     71.900    159.830     30.780
   4714.286   -100.830    183.820    -48.140    101.160    152.980     37.870
   4785.714    -92.700    194.460    -45.030    126.410    145.480     48.050
   4857.143    -82.900    204.520    -41.140    148.240    137.440     59.900
   4928.571    -71.640    214.040    -36.430    166.490    130.370     71.920
   5000.000    -59.140    223.010    -30.820    184.380    124.280     86.360
   5071.429    -45.310    231.730    -23.980    205.060    120.890    106.340
   5142.857    -29.860    240.070    -15.150    230.960    114.270    145.210
   5214.286    -12.570    247.460     -2.640    255.200     86.280    213.520
   5285.714      5.240    250.730     15.220    232.340     -5.260    277.390
   5357.143     19.940    247.390     34.590    180.130    -80.510    258.780
   5428.571     31.360    240.430     51.670    142.350   -112.740    221.190
   5500.000     40.620    231.810     66.120    117.350   -131.970    184.230
   5571.429     48.310    222.080     78.280     95.480   -142.050    155.190
   5642.857     54.600    211.720     88.310     78.640   -150.090    126.520
   5714.286     59.770    200.800     96.580     62.820   -158.400    104.180
   5785.714     63.850    189.410    103.180     48.890   -161.850     81.530
   5857.143     66.940    177.700    108.100     33.980   -168.740     59.130
   5928.571     68.960    165.780    111.410     19.950   -166.950     36.040
   6000.000     70.080    153.830    113.160      8.690   -168.470     10.200
   6071.429     70.340    141.960    113.300     -2.940   -165.040    -11.140
   6142.857     69.680    130.220    111.750    -19.250   -161.040    -37.120
   6214.286     67.940    118.890    108.230    -31.090   -153.970    -64.860
   6285.714     65.260    108.270    102.670    -48.390   -141.700    -97.870
   6357.143     60.240     98.080     94.150    -63.420   -125.300   -129.770
   6428.571     55.250     89.900     83.690    -75.770   -103.060   -164.900
   6500.000     49.320     83.600     70.720    -90.330    -72.270   -196.920
   6571.429     42.320     80.000     55.460   -102.810    -25.680   -229.890
   6642.857     34.770     80.220     38.140   -108.530     34.650   -253.680
   6714.286     27.120     85.580     19.850   -100.240    115.030   -253.530
   6785.714     20.860     96.590      2.920    -75.440    185.510   -216.830
   6857.143     16.640    111.360    -10.510    -39.950    224.770   -152.330
   6928.571     14.970    127.690    -19.100     -9.700    230.240    -88.240
   7000.000     15.510    143.850    -23.450     20.350    216.300    -36.820
   7071.429     17.620    158.530    -24.600     40.140    195.120      3.540
   7142.857     21.040    171.630    -23.230     55.440    171.560     35.760
   7214.286     25.400    182.930    -19.740     65.350    145.700     62.910
   7285.714     30.500    192.380    -14.340     77.330    120.280     86.570
   7357.143     36.350    199.910     -7.580     85.790     90.090    104.550
   7428.571     42.700    205.410      0.470     93.560     64.990    122.890
   7500.000     49.560    208.950      9.670     99.400     33.360    134.080
   7571.429     56.760    210.260     19.660    103.320      2.620    143.300
